Year,Country Name,CO2 emissions (kt),CO2 emissions (metric tons per capita),Forest area (% of land area),Electricity production from hydroelectric sources (% of total),Electricity production from nuclear sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (% of total)",Renewable energy consumption (% of total final energy consumption)
2012,Canada,546291.6,15.73682394,38.73025757,59.72330209,14.90015723,21.42461097,3.507259079,21.44
2012,France,338315.4,5.152358494,30.29054509,10.48464427,75.96277983,8.706133185,4.342709801,12.35
2012,Germany,760127.7,9.451289047,32.74516555,3.487954492,15.94630907,59.68113795,19.51250405,13.64
2012,Italy,376747.2,6.32766192,30.89313468,14.08519398,0,67.96480299,16.93519633,14.39
2012,Japan,1254319.4,9.827855738,68.4696845,7.144019867,1.508472202,81.14717328,4.050227515,4.68
2012,United Kingdom,467831,7.344260926,12.80287687,1.468100414,19.55754204,68.4682032,9.955859762,4.15
2012,United States,4956053,15.78976015,33.80953318,6.521155808,18.75791991,68.86283964,5.486241256,8.73
2013,Canada,555742.4,15.84080976,38.72565107,58.88807883,15.54900826,20.76934062,4.409954227,21.84
2013,France,338453.1,5.127899428,30.442858,12.46870305,74.70448631,7.766403126,4.576583185,13.44
2013,Germany,776151.8,9.624229367,32.71898647,3.633491062,15.3710038,59.23832245,20.43905869,13.63
2013,Italy,346458.3,5.751877662,31.07509181,18.33009736,0,60.03633092,20.57525121,16.32
2013,Japan,1267376.2,9.944495272,68.45761317,7.370949399,0.878001822,81.59735363,4.834342395,5.05
2013,United Kingdom,453778.1,7.076100428,12.88223866,1.323307255,19.86283065,64.59252883,13.66517288,5.18
2013,United States,5092097.2,16.11117526,33.8395963,6.317909904,19.17383116,67.82464847,6.320009218,9.08
2014,Canada,561760.5,15.85217722,38.72104457,57.25461666,16.11907499,20.76312543,5.57037556,21.83
2014,France,306017.4,4.614807136,30.59517091,11.26193545,78.23558829,4.824546466,5.193969496,13.19
2014,Germany,736011.7,9.088527768,32.72284322,3.149349292,15.61715155,56.7323431,22.98074728,14.02
